Field Name,Data Type,Description,Source,Format / Validation,Constraints,Example,Sensitivity,Entity / Table,FHIR Resource,Relationships,Update Frequency,Nullable,Indexed,Notes,FHIR Change Notes
IDENTIFIERS,,,,,,,,,,,,,,,
hfid,string(6),Unique health facility identifier assigned by the facility registry. Primary key across all health sector systems.,,6-digit numeric string. Must pass Damm algorithm check digit validation. See hfid.py in the CamDHEA Technical Standards Annex.,Primary key; required; unique; system-generated; immutable; never reused or reassigned,342814,Internal,facility,"Location.identifier (system=https://camdhea.gov.kh/ns/hfid, use=official)",Referenced by all linked identifiers. Used as primary lookup key across all participating health systems.,Static,No,Yes,"Stored and exchanged as flat 6-digit numeric string. F prefix and hyphen grouping (F-XXX-XXX) applied at display only. HFID is never deactivated, reused, or reassigned including on facility closure or merger.",WARNING ADDRESSED: system URI added to uniquely identify HFID in FHIR queries and distinguish from other identifier types. Was: Location.identifier
legacy_hf_id,string(5),Legacy MFL sequential identifier (H followed by 4-digit sequence number). Retained as a linked identifier during the transition period. Retired 3 years after facility registry go-live.,,H followed by exactly 4 digits.,Optional; unique where not null; linked identifier only  not used as cross-system reference key,H0001,Internal,facility_identifier,"Location.identifier (system=https://camdhea.gov.kh/ns/legacy-hfid, use=old)",Associated with hfid via identifier linkage. Mapped in facility_identifier table with identifier_type = LegacyHFID.,Static once recorded,Yes,Yes,"Retirement deadline: 3 years from facility registry operational readiness date. After retirement, field is no longer maintained but historical linkage record is retained for audit purposes.",WARNING ADDRESSED: system URI added. Was: Location.identifier
legacy_hf_code,string(6),"Legacy MFL geographic code encoding province, OD, and sequence. Retained as a linked identifier during transition. Retired 3 years after facility registry go-live.",,6 digits: 2-digit province code + 2-digit OD code + 2-digit sequence.,Optional; unique where not null; linked identifier only,10203,Internal,facility_identifier,"Location.identifier (system=https://camdhea.gov.kh/ns/legacy-hfcode, use=old)",Associated with hfid via identifier linkage in facility_identifier table.,Static once recorded,Yes,Yes,Meaningful code  encodes location and OD which may change. This is the primary reason for migration to the non-meaningful HFID. Retired on same schedule as legacy_hf_id.,WARNING ADDRESSED: system URI added. Was: Location.identifier
hsd_facility_id,string,Facility identifier issued by the Department of Hospital Services (HSD) for larger private facilities. Retained as a permanent linked identifier  not subject to the health sector legacy code retirement timeline.,,Per HSD identifier format specification.,Conditional  applicable where ownership_type is Private and facility is licensed through HSD channel; mutually exclusive with ows_registration_id; permanent linked identifier,HSD-2023-04821,Internal,facility_identifier,"Location.identifier (system=https://camdhea.gov.kh/ns/hsd-facility-id, use=secondary)",Associated with hfid via identifier linkage in facility_identifier table with identifier_type = HSD. Aligns with licensing_authority = HSD in the licensing group.,Infrequent,Yes,Yes,"Permanent linked identifier  not retired. A private facility will hold either an HSD identifier or an OWS registration identifier, not both, as the two licensing channels are mutually exclusive based on facility size and type. Cross-referenced with licence_number in the licensing group.",WARNING ADDRESSED: system URI added. Was: Location.identifier
ows_registration_id,string,Facility registration identifier issued via the One Window Service (OWS) for smaller private facilities. Retained as a permanent linked identifier  not subject to the health sector legacy code retirement timeline.,,Per OWS registration identifier format specification.,Conditional  applicable where ownership_type is Private and facility is licensed through OWS channel; mutually exclusive with hsd_facility_id; permanent linked identifier,OWS-PP-2022-00341,Internal,facility_identifier,"Location.identifier (system=https://camdhea.gov.kh/ns/ows-registration-id, use=secondary)",Associated with hfid via identifier linkage in facility_identifier table with identifier_type = OWS. Aligns with licensing_authority = OWS in the licensing group.,Infrequent,Yes,Yes,Permanent linked identifier  not retired. Mutually exclusive with hsd_facility_id. Cross-referenced with licence_number in the licensing group.,WARNING ADDRESSED: system URI added. Was: Location.identifier
mop_facility_code,string,"Ministry of Planning facility code, retained as a permanent linked identifier to support cross-ministry data exchange. Not subject to the health sector retirement timeline.",,Per MoP specification.,Optional; permanent linked identifier; not retired,,Internal,facility_identifier,"Location.identifier (system=https://camdhea.gov.kh/ns/mop-facility-code, use=secondary)",Permanent linkage to MoP facility registry. Not replaced by HFID for MoP purposes.,Infrequent,Yes,Yes,Maintained indefinitely as a linked identifier. MoP codes are outside health sector governance and are not subject to the 3-year transition retirement.,WARNING ADDRESSED: system URI added. Was: Location.identifier
identifier_type,code,Indicates the type and issuing authority for each linked identifier recorded against the facility record.,,From CamDHEA facility identifier type value set.,Required for each linked identifier record,LegacyHFID | LegacyHFCode | MoP,Internal,facility_identifier,Location.identifier.type (CodeableConcept) + Location.identifier.system (URI per issuing authority),Qualifies each entry in facility_identifier table.,Static,No,No,Value set maintained in CamDHEA Terminology Registry. Must be extended as new linked identifier types are brought into scope.,WARNING ADDRESSED: Added Location.identifier.system -- system URI is the primary discriminator in FHIR identifier model. type alone is insufficient for reliable identity resolution. Was: Location.identifier.type
FACILITY NAME,,,,,,,,,"Location.name (Khmer official, primary) | Location.alias (Latin/alternate script)",,,,,,ERROR CORRECTED: Location.name holds the single primary official name. Alternate-script and former names use Location.alias (repeatable string). Apply translation extension for language/script tagging on each. Was: Location.name
name_use,code,Indicates the purpose or context of this name instance such as official name or previous name.,,From FHIR name use value set.,Required for each name instance,official,Internal,facility_name,Location.name (official) | Location.alias (old/alternate),Qualifies each facility_name record.,Infrequent,No,No,"Permitted values: official, old. At minimum one Khmer script official name is required. Name group is repeatable  one instance per script.","ERROR CORRECTED: Location.name has no ""use"" sub-element in R4. The use distinction (official vs old) maps to Location.name vs Location.alias. Apply HL7 translation extension for script tagging. Was: Location.name (use extension)"
